unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1624995780000,2021-06-29T19:43:00Z,BNB/USDT,305.63,305.88,305.59,305.8,511.6003,156427.110935,247
1624995720000,2021-06-29T19:42:00Z,BNB/USDT,305.69,306,305.51,305.64,1115.9675,341213.469697,397
1624995660000,2021-06-29T19:41:00Z,BNB/USDT,306.17,306.28,305.48,305.68,981.328,300031.388621,480
1624995600000,2021-06-29T19:40:00Z,BNB/USDT,306.04,306.24,305.85,306.15,465.2822,142386.554393,274
1624995540000,2021-06-29T19:39:00Z,BNB/USDT,306.46,306.48,306.04,306.04,289.297,88592.967122,215
1624995480000,2021-06-29T19:38:00Z,BNB/USDT,306.52,306.55,306.26,306.48,280.699,86016.661983,202
1624995420000,2021-06-29T19:37:00Z,BNB/USDT,306.4,306.56,306.2,306.52,294.9112,90369.588527,217
1624995360000,2021-06-29T19:36:00Z,BNB/USDT,306.14,306.49,305.9,306.4,267.5131,81924.42749,211
1624995300000,2021-06-29T19:35:00Z,BNB/USDT,306.16,306.18,305.8,306.12,500.4035,153113.873054,310
1624995240000,2021-06-29T19:34:00Z,BNB/USDT,305.94,306.35,305.84,306.14,692.7056,212033.379084,391
1624995180000,2021-06-29T19:33:00Z,BNB/USDT,305.8,306,305.79,305.93,170.3303,52102.823183,173
1624995120000,2021-06-29T19:32:00Z,BNB/USDT,305.93,306.08,305.74,305.8,287.1394,87834.776208,263
1624995060000,2021-06-29T19:31:00Z,BNB/USDT,306.49,306.5,305.69,305.9,737.0715,225582.236799,434
1624995000000,2021-06-29T19:30:00Z,BNB/USDT,306.66,306.74,306.39,306.5,426.0021,130583.221064,266
1624994940000,2021-06-29T19:29:00Z,BNB/USDT,306.89,307.13,306.66,306.66,480.9564,147609.823588,327
1624994880000,2021-06-29T19:28:00Z,BNB/USDT,306.64,306.91,306.57,306.9,322.1878,98823.28284,207
1624994820000,2021-06-29T19:27:00Z,BNB/USDT,306.64,306.78,306.63,306.66,130.1183,39905.460911,135
1624994760000,2021-06-29T19:26:00Z,BNB/USDT,306.55,306.82,306.5,306.64,317.7517,97447.245397,204
1624994700000,2021-06-29T19:25:00Z,BNB/USDT,306.37,306.75,306.16,306.58,676.1903,207232.950863,291
1624994640000,2021-06-29T19:24:00Z,BNB/USDT,306.44,306.49,306.05,306.41,449.9375,137828.322903,253
1624994580000,2021-06-29T19:23:00Z,BNB/USDT,306.31,306.77,306.04,306.38,624.7211,191396.71517,336
1624994520000,2021-06-29T19:22:00Z,BNB/USDT,306.28,306.35,305.92,306.34,744.6079,227930.778043,464
1624994460000,2021-06-29T19:21:00Z,BNB/USDT,306.51,306.55,306.11,306.25,333.7073,102198.271129,256
1624994400000,2021-06-29T19:20:00Z,BNB/USDT,306.73,306.73,306.3,306.51,431.5174,132237.175176,234
1624994340000,2021-06-29T19:19:00Z,BNB/USDT,306.69,307.08,306.5,306.78,487.1596,149451.206101,302
1624994280000,2021-06-29T19:18:00Z,BNB/USDT,306.47,306.75,306.18,306.69,349.5408,107102.758637,241
1624994220000,2021-06-29T19:17:00Z,BNB/USDT,306.93,306.99,306.3,306.46,779.3022,238916.72709,384
1624994160000,2021-06-29T19:16:00Z,BNB/USDT,307.27,307.3,306.53,306.93,1316.1415,403794.322056,547
1624994100000,2021-06-29T19:15:00Z,BNB/USDT,307.4,307.4,307.15,307.33,283.4562,87104.388177,158
1624994040000,2021-06-29T19:14:00Z,BNB/USDT,307.42,307.44,307.05,307.41,126.2499,38792.939237,142
1624993980000,2021-06-29T19:13:00Z,BNB/USDT,307.46,307.5,307.26,307.41,283.4442,87135.484984,183
1624993920000,2021-06-29T19:12:00Z,BNB/USDT,307.15,307.62,307.03,307.46,566.8868,174267.249015,307
1624993860000,2021-06-29T19:11:00Z,BNB/USDT,306.9,307.25,306.89,307.18,514.7275,158040.321402,197
1624993800000,2021-06-29T19:10:00Z,BNB/USDT,306.62,307.2,306.6,306.93,366.2936,112411.618074,204
1624993740000,2021-06-29T19:09:00Z,BNB/USDT,307,307.5,306.57,306.57,1724.7865,529724.775956,647
1624993680000,2021-06-29T19:08:00Z,BNB/USDT,307.03,307.17,306.82,306.99,991.2901,304311.439889,571
1624993620000,2021-06-29T19:07:00Z,BNB/USDT,306.84,307.14,306.44,307.06,1408.3052,432138.107717,380
1624993560000,2021-06-29T19:06:00Z,BNB/USDT,306.71,306.92,306.44,306.8,366.5869,112423.5486,222
1624993500000,2021-06-29T19:05:00Z,BNB/USDT,306.71,306.74,306.23,306.71,882.8632,270599.412909,275
1624993440000,2021-06-29T19:04:00Z,BNB/USDT,306.72,306.94,306.36,306.72,1120.102,343415.578985,307
