unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1624998600000,2021-06-29T20:30:00Z,BTC/USDT,36373.62,36411.1,36365.86,36378.85,32.45812,1180969.51018377,788
1624998540000,2021-06-29T20:29:00Z,BTC/USDT,36380,36386.36,36365,36373.63,84.654208,3079443.35094881,686
1624998480000,2021-06-29T20:28:00Z,BTC/USDT,36391.89,36393.43,36380,36380,28.536734,1038210.46055014,630
1624998420000,2021-06-29T20:27:00Z,BTC/USDT,36409.74,36414.79,36389.55,36391.89,11.584352,421693.15133658,439
1624998360000,2021-06-29T20:26:00Z,BTC/USDT,36389.54,36416.49,36388.6,36409.74,27.385138,996973.00361338,551
1624998300000,2021-06-29T20:25:00Z,BTC/USDT,36394.38,36398,36385.02,36389.53,14.239419,518202.69567887,427
1624998240000,2021-06-29T20:24:00Z,BTC/USDT,36399.98,36406.83,36390,36394.37,21.13229,769123.846467,407
1624998180000,2021-06-29T20:23:00Z,BTC/USDT,36393.38,36409.61,36393.38,36399.99,14.788264,538306.5342757,296
1624998120000,2021-06-29T20:22:00Z,BTC/USDT,36400,36410.79,36393.38,36393.38,18.468986,672253.16477991,377
1624998060000,2021-06-29T20:21:00Z,BTC/USDT,36413.37,36425,36396.66,36400,38.950598,1418131.64142497,576
1624998000000,2021-06-29T20:20:00Z,BTC/USDT,36415.98,36415.98,36401.51,36413.37,13.637686,496560.43497373,363
1624997940000,2021-06-29T20:19:00Z,BTC/USDT,36399.99,36416.28,36386.76,36415.98,20.32836,739975.5101633,526
1624997880000,2021-06-29T20:18:00Z,BTC/USDT,36380.1,36416.51,36380,36399.99,36.225861,1318571.20868644,682
1624997820000,2021-06-29T20:17:00Z,BTC/USDT,36385.01,36415.49,36380.1,36380.1,226.999405,8260741.55501296,1211
1624997760000,2021-06-29T20:16:00Z,BTC/USDT,36433.76,36433.76,36385,36385.01,38.498282,1401290.76850239,667
1624997700000,2021-06-29T20:15:00Z,BTC/USDT,36399.89,36443.26,36392.49,36433.77,46.737189,1701903.29807126,968
1624997640000,2021-06-29T20:14:00Z,BTC/USDT,36476.27,36488.7,36392.68,36399.88,166.533424,6072088.07908549,1471
1624997580000,2021-06-29T20:13:00Z,BTC/USDT,36465.6,36479.99,36460.12,36476.27,37.895896,1381950.58476953,664
1624997520000,2021-06-29T20:12:00Z,BTC/USDT,36405.59,36476.88,36405.59,36465.61,176.420666,6432398.98768428,1810
1624997460000,2021-06-29T20:11:00Z,BTC/USDT,36398.29,36420.29,36385,36406.6,21.274955,774460.7760902,506
1624997400000,2021-06-29T20:10:00Z,BTC/USDT,36427.39,36438.77,36367.73,36398.3,37.21893,1354582.5706333,732
1624997340000,2021-06-29T20:09:00Z,BTC/USDT,36413.12,36435,36392.29,36427.4,35.676962,1299277.36747332,926
1624997280000,2021-06-29T20:08:00Z,BTC/USDT,36361.28,36435,36355.22,36419.93,116.899177,4255166.26074954,1430
1624997220000,2021-06-29T20:07:00Z,BTC/USDT,36362.26,36374.94,36350,36361.28,8.04999,292730.46481308,355
1624997160000,2021-06-29T20:06:00Z,BTC/USDT,36353.31,36378.03,36350,36362.27,21.050511,765473.68433179,512
