unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1625000400000,2021-06-29T21:00:00Z,ETH/USDT,2192.14,2198.34,2186.47,2187.69,1392.54082,3053816.5763054,1967
1625000340000,2021-06-29T20:59:00Z,ETH/USDT,2189.04,2193.63,2186.42,2192.14,1450.20746,3174496.2658174,2156
1625000280000,2021-06-29T20:58:00Z,ETH/USDT,2195.56,2195.57,2188.2,2188.92,604.86486,1325586.6753039,1582
1625000220000,2021-06-29T20:57:00Z,ETH/USDT,2192.62,2196.12,2191.42,2195.56,1015.78448,2227953.4759322,1437
1625000160000,2021-06-29T20:56:00Z,ETH/USDT,2196.57,2198.56,2190.03,2192.63,3580.39625,7858449.4315149,3115
1625000100000,2021-06-29T20:55:00Z,ETH/USDT,2203.18,2205,2195,2196.58,3239.7315,7120112.9639062,4104
1625000040000,2021-06-29T20:54:00Z,ETH/USDT,2203.98,2206.57,2202.6,2203.18,519.91115,1146270.1918163,856
1624999980000,2021-06-29T20:53:00Z,ETH/USDT,2207,2207.01,2201,2203.98,1344.57544,2961948.8671084,2040
1624999920000,2021-06-29T20:52:00Z,ETH/USDT,2210.03,2210.1,2204,2207,1142.83919,2521964.0058353,2184
1624999860000,2021-06-29T20:51:00Z,ETH/USDT,2211.49,2211.73,2210,2210.03,499.20649,1103679.7587941,1174
1624999800000,2021-06-29T20:50:00Z,ETH/USDT,2214.26,2214.26,2211.16,2211.63,490.86765,1086017.2889865,880
1624999740000,2021-06-29T20:49:00Z,ETH/USDT,2213.99,2215.16,2213.57,2214.26,333.2231,737934.466784,912
1624999680000,2021-06-29T20:48:00Z,ETH/USDT,2215.52,2215.61,2213.43,2213.99,556.80922,1232988.4826487,864
1624999620000,2021-06-29T20:47:00Z,ETH/USDT,2216.22,2217.32,2215,2215.61,468.10536,1037297.5462659,1284
1624999560000,2021-06-29T20:46:00Z,ETH/USDT,2216.22,2219.95,2216,2216.23,1003.43508,2224179.5382545,997
1624999500000,2021-06-29T20:45:00Z,ETH/USDT,2216.01,2216.75,2215.16,2216.22,350.38872,776432.6290001,671
1624999440000,2021-06-29T20:44:00Z,ETH/USDT,2218.4,2218.76,2216,2216.01,619.6012,1373834.5039092,1088
1624999380000,2021-06-29T20:43:00Z,ETH/USDT,2216.62,2219.44,2216.62,2218.39,424.02972,940481.1376892,934
1624999320000,2021-06-29T20:42:00Z,ETH/USDT,2217,2219.2,2216.17,2216.63,469.77173,1041596.5545097,674
1624999260000,2021-06-29T20:41:00Z,ETH/USDT,2219.01,2219.32,2217,2217,488.14873,1082628.2437879,1202
1624999200000,2021-06-29T20:40:00Z,ETH/USDT,2219.48,2219.98,2219,2219.01,137.0008,304042.0723018,532
1624999140000,2021-06-29T20:39:00Z,ETH/USDT,2219.84,2219.96,2218.88,2219.48,93.05154,206514.6907809,1350
1624999080000,2021-06-29T20:38:00Z,ETH/USDT,2219.48,2220,2219.15,2219.85,111.17981,246771.9612705,505
1624999020000,2021-06-29T20:37:00Z,ETH/USDT,2220.4,2220.41,2218.38,2219.26,354.80037,787454.9365546,692
1624998960000,2021-06-29T20:36:00Z,ETH/USDT,2220.99,2221.74,2220.17,2220.4,243.83317,541527.5553159,481
1624998900000,2021-06-29T20:35:00Z,ETH/USDT,2220.02,2221,2220.01,2220.94,96.57836,214464.1699485,1052
1624998840000,2021-06-29T20:34:00Z,ETH/USDT,2221.69,2221.69,2220,2220.03,160.72796,356852.142508,611
1624998780000,2021-06-29T20:33:00Z,ETH/USDT,2220.3,2221.93,2220.29,2221.69,192.06167,426622.562099,637
1624998720000,2021-06-29T20:32:00Z,ETH/USDT,2221.7,2222.5,2220.29,2220.29,92.02513,204390.7618735,581
1624998660000,2021-06-29T20:31:00Z,ETH/USDT,2223.97,2225.2,2221.12,2221.7,416.57193,926453.1717368,941
1624998600000,2021-06-29T20:30:00Z,ETH/USDT,2220.38,2225.47,2220.13,2223.93,624.17737,1387942.69966,710
1624998540000,2021-06-29T20:29:00Z,ETH/USDT,2220.01,2221.19,2219.36,2220.43,176.01946,390808.6682745,1144
1624998480000,2021-06-29T20:28:00Z,ETH/USDT,2222.73,2223.28,2219.47,2220.01,268.59505,596528.9610862,608
1624998420000,2021-06-29T20:27:00Z,ETH/USDT,2223.34,2224.86,2222.71,2222.92,306.6726,682054.0929225,903
1624998360000,2021-06-29T20:26:00Z,ETH/USDT,2224.16,2224.17,2223,2223.34,485.37661,1079364.769605,775
1624998300000,2021-06-29T20:25:00Z,ETH/USDT,2225.1,2225.35,2223.94,2224.16,572.48051,1273561.0618129,677
1624998240000,2021-06-29T20:24:00Z,ETH/USDT,2225,2225.97,2225,2225.11,217.87037,484814.0953412,474
1624998180000,2021-06-29T20:23:00Z,ETH/USDT,2224.01,2225.23,2224,2225,223.93324,498244.5549184,986
1624998120000,2021-06-29T20:22:00Z,ETH/USDT,2225.8,2225.99,2223.94,2224.01,761.30826,1693786.9132857,518
1624998060000,2021-06-29T20:21:00Z,ETH/USDT,2226.51,2226.77,2224,2225.98,115.28413,256509.1431529,652
1624998000000,2021-06-29T20:20:00Z,ETH/USDT,2226.86,2227.34,2225.97,2226.74,131.35778,292463.7316062,805
1624997940000,2021-06-29T20:19:00Z,ETH/USDT,2223.5,2227.5,2223.06,2227.09,303.68795,675601.7180796,1339
1624997880000,2021-06-29T20:18:00Z,ETH/USDT,2224.06,2225.34,2223.32,2223.5,358.50554,797247.4739429,590
1624997820000,2021-06-29T20:17:00Z,ETH/USDT,2224.59,2228.97,2223.75,2224.06,585.61661,1303883.3433722,1296
1624997760000,2021-06-29T20:16:00Z,ETH/USDT,2228.07,2228.07,2224.32,2224.38,300.22836,668093.3717165,646
1624997700000,2021-06-29T20:15:00Z,ETH/USDT,2224.31,2228.91,2224.08,2228.25,420.65919,936625.8748705,1101
1624997640000,2021-06-29T20:14:00Z,ETH/USDT,2228.05,2229.02,2224.31,2224.31,632.42835,1408729.9301263,995
1624997580000,2021-06-29T20:13:00Z,ETH/USDT,2229.34,2229.56,2226.36,2228.18,632.74887,1409812.0621208,1100
1624997520000,2021-06-29T20:12:00Z,ETH/USDT,2221.86,2230,2221.86,2229.34,1884.61147,4197979.5783982,2126
1624997460000,2021-06-29T20:11:00Z,ETH/USDT,2220.36,2222.78,2219.91,2221.71,153.30084,340562.8488776,1017
1624997400000,2021-06-29T20:10:00Z,ETH/USDT,2221.82,2222.96,2219,2220.37,252.52125,560942.4594342,539
1624997340000,2021-06-29T20:09:00Z,ETH/USDT,2223.32,2224.02,2219.1,2221.67,377.46679,838594.2313766,1012
1624997280000,2021-06-29T20:08:00Z,ETH/USDT,2220.46,2224.98,2219.61,2223.3,577.78457,1283690.9958515,1037
1624997220000,2021-06-29T20:07:00Z,ETH/USDT,2218.26,2221.14,2216.6,2220.46,312.64546,693868.9176768,894
1624997160000,2021-06-29T20:06:00Z,ETH/USDT,2219.64,2222.44,2217.02,2218.64,504.69692,1120676.2610654,909
1624997100000,2021-06-29T20:05:00Z,ETH/USDT,2218.39,2219.96,2217.56,2219.64,193.36584,429065.6005811,680
1624997040000,2021-06-29T20:04:00Z,ETH/USDT,2221.38,2221.38,2217.99,2218.38,188.48899,418462.7091468,585
1624996980000,2021-06-29T20:03:00Z,ETH/USDT,2218.09,2221.58,2216.13,2221.21,357.7844,794013.0015163,955
1624996920000,2021-06-29T20:02:00Z,ETH/USDT,2221.74,2221.75,2216,2218.2,618.96557,1372735.0142613,1042
1624996860000,2021-06-29T20:01:00Z,ETH/USDT,2222.1,2222.81,2220.47,2221.75,417.60488,927793.9370436,681
1624996800000,2021-06-29T20:00:00Z,ETH/USDT,2221.82,2223,2220.86,2222.11,323.17863,718084.5160703,836
1624996740000,2021-06-29T19:59:00Z,ETH/USDT,2223.12,2223.64,2221.56,2221.56,175.25776,389566.6280314,443
1624996680000,2021-06-29T19:58:00Z,ETH/USDT,2221.35,2223.63,2221.34,2223.13,198.43412,441096.8552341,474
1624996620000,2021-06-29T19:57:00Z,ETH/USDT,2221.92,2223.76,2220.1,2221.34,410.81209,912767.9288722,884
1624996560000,2021-06-29T19:56:00Z,ETH/USDT,2220.36,2222.98,2219.99,2221.92,354.8228,788192.8945925,758
1624996500000,2021-06-29T19:55:00Z,ETH/USDT,2221.68,2221.68,2219.49,2220.42,133.69525,296854.4406841,615
1624996440000,2021-06-29T19:54:00Z,ETH/USDT,2220.11,2222.19,2220.11,2221.73,370.33167,822511.2329094,761
1624996380000,2021-06-29T19:53:00Z,ETH/USDT,2218.51,2220.91,2218.46,2220.03,271.10518,601835.3807233,814
1624996320000,2021-06-29T19:52:00Z,ETH/USDT,2221.49,2222.49,2218.16,2218.61,596.56205,1324793.9537637,960
1624996260000,2021-06-29T19:51:00Z,ETH/USDT,2217.1,2222,2216.57,2221.37,377.14908,837070.2245724,1037
1624996200000,2021-06-29T19:50:00Z,ETH/USDT,2215.82,2217.82,2213.94,2217.11,506.35425,1122058.6122429,709
1624996140000,2021-06-29T19:49:00Z,ETH/USDT,2214.61,2217.98,2214.61,2215.81,172.03772,381324.1999108,924
1624996080000,2021-06-29T19:48:00Z,ETH/USDT,2211.94,2214.99,2211.22,2214.61,312.04361,690670.5569079,850
1624996020000,2021-06-29T19:47:00Z,ETH/USDT,2211.77,2212.6,2211.29,2211.94,152.56505,337451.4656278,910
1624995960000,2021-06-29T19:46:00Z,ETH/USDT,2212.46,2212.95,2211.03,2211.77,193.7531,428545.2980674,580
1624995900000,2021-06-29T19:45:00Z,ETH/USDT,2212.3,2213.63,2211.45,2212.59,223.26352,493961.8416685,721
1624995840000,2021-06-29T19:44:00Z,ETH/USDT,2214.43,2214.44,2212.23,2212.39,152.66988,337877.3136108,914
1624995780000,2021-06-29T19:43:00Z,ETH/USDT,2214.07,2215.34,2213.57,2214.43,92.25996,204296.5390876,642
1624995720000,2021-06-29T19:42:00Z,ETH/USDT,2213.95,2215,2213.42,2214.07,116.9206,258859.8458653,544
1624995660000,2021-06-29T19:41:00Z,ETH/USDT,2216.52,2216.61,2213.73,2213.95,92.69741,205338.9184976,698
1624995600000,2021-06-29T19:40:00Z,ETH/USDT,2214.48,2217.12,2213.57,2216.32,301.21945,667193.5722249,515
1624995540000,2021-06-29T19:39:00Z,ETH/USDT,2217,2217,2214.47,2214.48,216.10063,478746.9202621,882
1624995480000,2021-06-29T19:38:00Z,ETH/USDT,2219.16,2219.64,2216.76,2217.01,125.00513,277325.5644379,731
1624995420000,2021-06-29T19:37:00Z,ETH/USDT,2218.04,2219.79,2216.91,2219.26,120.23737,266721.0910166,619
1624995360000,2021-06-29T19:36:00Z,ETH/USDT,2215.5,2218.35,2215.14,2218.04,193.00885,427842.1943492,543
1624995300000,2021-06-29T19:35:00Z,ETH/USDT,2213.67,2215.51,2212.99,2215.5,153.31417,339476.2896416,1038
1624995240000,2021-06-29T19:34:00Z,ETH/USDT,2213.38,2216.09,2212.77,2214.02,171.77326,380359.7788623,633
1624995180000,2021-06-29T19:33:00Z,ETH/USDT,2212.76,2213.94,2212.54,2213.5,145.14555,321229.3899623,557
1624995120000,2021-06-29T19:32:00Z,ETH/USDT,2212.51,2214,2212.26,2212.76,219.75448,486340.077888,788
1624995060000,2021-06-29T19:31:00Z,ETH/USDT,2218.01,2218.74,2210.75,2212.51,1006.80171,2229110.625159,1521
1624995000000,2021-06-29T19:30:00Z,ETH/USDT,2218.97,2219.47,2217,2218.02,231.48133,513380.7278187,496
1624994940000,2021-06-29T19:29:00Z,ETH/USDT,2220.1,2221.52,2218.96,2218.96,159.42313,353937.302015,714
1624994880000,2021-06-29T19:28:00Z,ETH/USDT,2219.86,2220.55,2219.47,2220.11,108.25647,240333.182927,297
1624994820000,2021-06-29T19:27:00Z,ETH/USDT,2220.14,2220.34,2219.31,2219.86,74.19426,164685.0398753,522
1624994760000,2021-06-29T19:26:00Z,ETH/USDT,2219.88,2220.85,2219.23,2220.15,95.00247,210907.6532042,690
1624994700000,2021-06-29T19:25:00Z,ETH/USDT,2220.51,2221.28,2218.64,2219.88,76.20817,169188.7323087,654
1624994640000,2021-06-29T19:24:00Z,ETH/USDT,2221.43,2222.05,2218.37,2220.49,93.28699,207105.6756154,521
1624994580000,2021-06-29T19:23:00Z,ETH/USDT,2221.28,2223,2219.6,2221.38,227.2786,504846.940925,1130
1624994520000,2021-06-29T19:22:00Z,ETH/USDT,2219.22,2221.6,2218.82,2221.28,132.28413,293664.1401887,506
1624994460000,2021-06-29T19:21:00Z,ETH/USDT,2221.05,2221.06,2217.41,2219.21,264.4576,586845.3484171,981
1624994400000,2021-06-29T19:20:00Z,ETH/USDT,2222.48,2222.48,2220,2221.06,135.16067,300143.0935384,689
1624994340000,2021-06-29T19:19:00Z,ETH/USDT,2222.31,2223.48,2221.15,2222.48,222.14454,493695.9785067,864
1624994280000,2021-06-29T19:18:00Z,ETH/USDT,2221.64,2222.65,2220.19,2222.32,138.85712,308458.0715482,388
1624994220000,2021-06-29T19:17:00Z,ETH/USDT,2223.09,2223.25,2221.1,2221.63,194.50636,432276.7249016,1056
1624994160000,2021-06-29T19:16:00Z,ETH/USDT,2222.19,2223.1,2220.31,2223.1,238.48306,529845.8390307,515
1624994100000,2021-06-29T19:15:00Z,ETH/USDT,2222.63,2222.77,2221.55,2222.16,56.81375,126254.3343598,750
1624994040000,2021-06-29T19:14:00Z,ETH/USDT,2223.52,2223.6,2221.07,2222.62,103.74635,230566.5061416,624
1624993980000,2021-06-29T19:13:00Z,ETH/USDT,2223,2223.62,2222.5,2223.6,101.88198,226495.3964264,632
1624993920000,2021-06-29T19:12:00Z,ETH/USDT,2220.87,2223.76,2220.87,2222.91,155.51764,345665.982559,469
1624993860000,2021-06-29T19:11:00Z,ETH/USDT,2220.35,2221.67,2219.82,2220.87,247.9624,550588.9080514,1009
1624993800000,2021-06-29T19:10:00Z,ETH/USDT,2220.31,2222,2220.18,2220.35,135.55348,301090.7231897,498
1624993740000,2021-06-29T19:09:00Z,ETH/USDT,2223.79,2224.46,2220.32,2220.32,237.76388,528603.1245647,808
1624993680000,2021-06-29T19:08:00Z,ETH/USDT,2222.89,2224.29,2222.68,2223.96,325.74396,724287.5611644,864
1624993620000,2021-06-29T19:07:00Z,ETH/USDT,2221.3,2224.07,2221.3,2222.9,309.58305,688141.6133152,875
1624993560000,2021-06-29T19:06:00Z,ETH/USDT,2220.69,2222,2219.22,2221.3,201.64441,447750.3437235,532
1624993500000,2021-06-29T19:05:00Z,ETH/USDT,2220.73,2220.74,2219.04,2220.69,217.2034,482188.2122639,799
1624993440000,2021-06-29T19:04:00Z,ETH/USDT,2220.52,2221.67,2220.33,2220.74,247.29741,549254.789354,519
1624993380000,2021-06-29T19:03:00Z,ETH/USDT,2217.35,2220.53,2217.18,2220.35,310.7878,689547.8070565,717
1624993320000,2021-06-29T19:02:00Z,ETH/USDT,2218.31,2218.32,2217.1,2217.43,217.49019,482300.905828,507
1624993260000,2021-06-29T19:01:00Z,ETH/USDT,2220.02,2220.22,2217.33,2218.31,170.43285,378034.2678036,512
1624993200000,2021-06-29T19:00:00Z,ETH/USDT,2221.89,2223.21,2219.13,2220.22,275.53918,611958.4501702,587
1624993140000,2021-06-29T18:59:00Z,ETH/USDT,2219.01,2221.89,2219,2221.89,302.61219,672105.6682512,601
1624993080000,2021-06-29T18:58:00Z,ETH/USDT,2216.83,2219.46,2216.83,2219.01,244.10689,541314.2987461,568
1624993020000,2021-06-29T18:57:00Z,ETH/USDT,2222.08,2222.08,2216.16,2216.84,592.07306,1313194.1125626,866
