unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1624995780000,2021-06-29T19:43:00Z,DOT/USDT,16.387,16.394,16.363,16.385,19092.397,312640.66298,222
1624995720000,2021-06-29T19:42:00Z,DOT/USDT,16.391,16.409,16.386,16.389,7612.157,124824.755729,132
1624995660000,2021-06-29T19:41:00Z,DOT/USDT,16.408,16.419,16.386,16.389,7582.08,124369.590684,197
1624995600000,2021-06-29T19:40:00Z,DOT/USDT,16.405,16.409,16.34,16.408,34424.405,563794.883155,795
1624995540000,2021-06-29T19:39:00Z,DOT/USDT,16.432,16.44,16.4,16.415,7240.714,118812.426119,176
1624995480000,2021-06-29T19:38:00Z,DOT/USDT,16.445,16.454,16.422,16.432,4462.611,73349.810341,165
1624995420000,2021-06-29T19:37:00Z,DOT/USDT,16.429,16.451,16.42,16.446,10637.979,174848.786385,189
1624995360000,2021-06-29T19:36:00Z,DOT/USDT,16.436,16.436,16.415,16.429,8839.734,145150.27879,190
1624995300000,2021-06-29T19:35:00Z,DOT/USDT,16.451,16.454,16.418,16.436,11560.817,189994.922095,236
1624995240000,2021-06-29T19:34:00Z,DOT/USDT,16.456,16.487,16.431,16.451,8546.344,140657.675022,253
1624995180000,2021-06-29T19:33:00Z,DOT/USDT,16.447,16.454,16.441,16.454,3319.136,54589.128679,114
1624995120000,2021-06-29T19:32:00Z,DOT/USDT,16.448,16.466,16.432,16.449,14449.889,237626.133663,187
1624995060000,2021-06-29T19:31:00Z,DOT/USDT,16.5,16.501,16.396,16.452,43924.501,721521.523435,1136
1624995000000,2021-06-29T19:30:00Z,DOT/USDT,16.529,16.531,16.479,16.497,15607.588,257448.069729,348
1624994940000,2021-06-29T19:29:00Z,DOT/USDT,16.544,16.545,16.524,16.524,3629.853,60022.085483,101
1624994880000,2021-06-29T19:28:00Z,DOT/USDT,16.532,16.546,16.532,16.544,999.372,16530.62041,43
1624994820000,2021-06-29T19:27:00Z,DOT/USDT,16.537,16.543,16.524,16.532,2654.053,43877.710342,89
1624994760000,2021-06-29T19:26:00Z,DOT/USDT,16.525,16.539,16.512,16.537,2512.456,41509.650929,100
1624994700000,2021-06-29T19:25:00Z,DOT/USDT,16.545,16.555,16.521,16.525,3537.552,58513.92823,131
1624994640000,2021-06-29T19:24:00Z,DOT/USDT,16.555,16.557,16.52,16.544,10966.37,181245.043509,186
1624994580000,2021-06-29T19:23:00Z,DOT/USDT,16.562,16.575,16.548,16.558,8348.982,138280.762349,174
1624994520000,2021-06-29T19:22:00Z,DOT/USDT,16.54,16.57,16.537,16.562,2547.308,42155.044321,103
1624994460000,2021-06-29T19:21:00Z,DOT/USDT,16.548,16.55,16.513,16.542,36254.571,599584.055814,361
1624994400000,2021-06-29T19:20:00Z,DOT/USDT,16.542,16.548,16.531,16.547,1796.099,29707.688339,98
1624994340000,2021-06-29T19:19:00Z,DOT/USDT,16.564,16.575,16.544,16.548,3997.728,66202.217625,122
1624994280000,2021-06-29T19:18:00Z,DOT/USDT,16.568,16.568,16.54,16.563,7382.236,122253.497592,131
1624994220000,2021-06-29T19:17:00Z,DOT/USDT,16.596,16.604,16.565,16.568,4174.09,69205.287758,154
1624994160000,2021-06-29T19:16:00Z,DOT/USDT,16.588,16.598,16.576,16.589,11617.282,192718.10196,248
1624994100000,2021-06-29T19:15:00Z,DOT/USDT,16.591,16.595,16.582,16.588,1997.091,33126.713847,109
1624994040000,2021-06-29T19:14:00Z,DOT/USDT,16.606,16.61,16.585,16.591,5494.528,91183.286291,139
1624993980000,2021-06-29T19:13:00Z,DOT/USDT,16.6,16.611,16.596,16.605,845.352,14035.870427,72
1624993920000,2021-06-29T19:12:00Z,DOT/USDT,16.58,16.616,16.571,16.6,9228.026,153272.263957,159
1624993860000,2021-06-29T19:11:00Z,DOT/USDT,16.562,16.591,16.557,16.578,3805.643,63080.123589,115
1624993800000,2021-06-29T19:10:00Z,DOT/USDT,16.575,16.579,16.533,16.555,31677.191,524316.087996,317
1624993740000,2021-06-29T19:09:00Z,DOT/USDT,16.606,16.628,16.575,16.576,13152.429,218380.303439,287
1624993680000,2021-06-29T19:08:00Z,DOT/USDT,16.574,16.61,16.567,16.605,19099.519,316858.750951,328
1624993620000,2021-06-29T19:07:00Z,DOT/USDT,16.539,16.588,16.537,16.575,13243.181,219495.983109,345
1624993560000,2021-06-29T19:06:00Z,DOT/USDT,16.531,16.544,16.524,16.535,5058.244,83628.682298,122
1624993500000,2021-06-29T19:05:00Z,DOT/USDT,16.514,16.532,16.488,16.531,6978.352,115252.300189,229
1624993440000,2021-06-29T19:04:00Z,DOT/USDT,16.505,16.523,16.504,16.516,4740.104,78281.703916,137
1624993380000,2021-06-29T19:03:00Z,DOT/USDT,16.488,16.505,16.461,16.501,15104.329,248996.38517,366
1624993320000,2021-06-29T19:02:00Z,DOT/USDT,16.5,16.515,16.484,16.49,14110.401,232821.7125,435
1624993260000,2021-06-29T19:01:00Z,DOT/USDT,16.521,16.524,16.501,16.501,3607.561,59568.729255,173
1624993200000,2021-06-29T19:00:00Z,DOT/USDT,16.543,16.56,16.508,16.514,4975.976,82243.939674,268
1624993140000,2021-06-29T18:59:00Z,DOT/USDT,16.534,16.577,16.533,16.547,54341.816,898740.569229,413
1624993080000,2021-06-29T18:58:00Z,DOT/USDT,16.538,16.554,16.525,16.533,2540.187,42000.601772,102
1624993020000,2021-06-29T18:57:00Z,DOT/USDT,16.547,16.548,16.5,16.535,13974.37,230812.057316,460
1624992960000,2021-06-29T18:56:00Z,DOT/USDT,16.584,16.587,16.547,16.548,15504.037,256753.021518,268
1624992900000,2021-06-29T18:55:00Z,DOT/USDT,16.61,16.61,16.573,16.584,8102.856,134396.423675,166
1624992840000,2021-06-29T18:54:00Z,DOT/USDT,16.608,16.613,16.6,16.611,2142.759,35587.339229,148
1624992780000,2021-06-29T18:53:00Z,DOT/USDT,16.623,16.629,16.608,16.609,3630.85,60343.856238,117
1624992720000,2021-06-29T18:52:00Z,DOT/USDT,16.601,16.625,16.594,16.625,3306.495,54912.310098,138
1624992660000,2021-06-29T18:51:00Z,DOT/USDT,16.619,16.619,16.582,16.601,3953.65,65608.406369,186
1624992600000,2021-06-29T18:50:00Z,DOT/USDT,16.61,16.629,16.606,16.621,4035.558,67075.165689,166
1624992540000,2021-06-29T18:49:00Z,DOT/USDT,16.534,16.618,16.534,16.61,7336.341,121663.52594,208
1624992480000,2021-06-29T18:48:00Z,DOT/USDT,16.566,16.567,16.527,16.533,7784.99,128742.103371,193
